,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
53,0.8999999999999999,cov+elasticnet,13,0,4,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
54,0.65,imcoh+elasticnet,13,0,4,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
55,0.755,instantaneous+elasticnet,13,0,4,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
56,0.815,RegCSP+shLDA,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
57,0.775,RegCSP+shLDA,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
58,0.875,CSP+optSVM,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
59,0.765,CSP+optSVM,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
60,0.875,FgMDM,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
61,0.835,FgMDM,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
62,0.915,ensemble-noDR,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
63,0.9199999999999999,cov+elasticnet,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
64,0.595,imcoh+elasticnet,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
65,0.825,instantaneous+elasticnet,13,0,5,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
66,0.8200000000000001,ensemble-noDR,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
67,0.815,cov+elasticnet,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
68,0.66,imcoh+elasticnet,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
69,0.78,instantaneous+elasticnet,13,0,5,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
70,0.51,RegCSP+shLDA,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
71,0.645,RegCSP+shLDA,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
72,0.515,CSP+optSVM,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
73,0.665,CSP+optSVM,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
74,0.605,FgMDM,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
75,0.53,FgMDM,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
76,0.58,ensemble-noDR,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
77,0.535,cov+elasticnet,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
78,0.515,imcoh+elasticnet,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
79,0.65,instantaneous+elasticnet,13,0,6,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
80,0.535,ensemble-noDR,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
81,0.54,cov+elasticnet,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
82,0.53,imcoh+elasticnet,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
83,0.535,instantaneous+elasticnet,13,0,6,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
84,0.855,RegCSP+shLDA,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
85,0.85,RegCSP+shLDA,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
86,0.845,CSP+optSVM,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
87,0.855,CSP+optSVM,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
88,0.905,FgMDM,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
89,0.88,FgMDM,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
90,0.885,ensemble-noDR,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
91,0.89,cov+elasticnet,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
92,0.645,imcoh+elasticnet,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
93,0.81,instantaneous+elasticnet,13,0,7,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
94,0.865,ensemble-noDR,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
95,0.875,cov+elasticnet,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
96,0.6499999999999999,imcoh+elasticnet,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
97,0.77,instantaneous+elasticnet,13,0,7,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
98,0.585,RegCSP+shLDA,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
99,0.6599999999999999,RegCSP+shLDA,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
100,0.8200000000000001,RegCSP+shLDA,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
101,0.63,CSP+optSVM,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
102,0.7050000000000001,CSP+optSVM,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
103,0.785,CSP+optSVM,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
104,0.715,FgMDM,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
105,0.755,FgMDM,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
106,0.7949999999999999,FgMDM,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
107,0.7050000000000001,ensemble-noDR,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
108,0.67,cov+elasticnet,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
109,0.5349999999999999,imcoh+elasticnet,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
110,0.75,instantaneous+elasticnet,13,0,8,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
111,0.815,ensemble-noDR,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
112,0.77,cov+elasticnet,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
113,0.525,imcoh+elasticnet,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
114,0.7949999999999999,instantaneous+elasticnet,13,0,8,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
115,0.8300000000000001,ensemble-noDR,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
116,0.815,cov+elasticnet,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
117,0.55,imcoh+elasticnet,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
118,0.7849999999999999,instantaneous+elasticnet,13,0,8,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
119,0.6799999999999999,RegCSP+shLDA,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
120,0.8049999999999999,RegCSP+shLDA,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
121,0.89,RegCSP+shLDA,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
122,0.685,CSP+optSVM,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
123,0.78,CSP+optSVM,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
124,0.9,CSP+optSVM,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
125,0.7250000000000001,FgMDM,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
126,0.885,FgMDM,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
