,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.625,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
1,0.55,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
2,0.42500000000000004,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
3,0.95,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
4,0.525,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,4
5,0.675,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
6,0.7,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
7,0.85,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
8,1.0,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
9,0.775,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,4
10,0.975,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
11,0.975,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
12,0.95,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
13,0.925,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
14,1.0,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,4
15,0.975,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
16,0.975,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
17,0.55,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
18,0.975,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
19,1.0,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
20,1.0,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
21,0.7,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
22,0.975,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
23,1.0,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
24,1.0,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
25,0.575,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
26,1.0,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
27,0.975,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
28,0.975,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
29,0.7,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
30,0.975,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
31,0.975,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,4
32,0.975,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,4
33,0.75,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,4
