,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.625,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
1,0.675,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
2,0.975,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
3,0.975,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
4,0.975,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
5,0.55,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
6,0.975,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,0
7,0.55,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
8,0.7,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
9,0.975,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
10,1.0,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
11,1.0,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
12,0.7,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
13,0.975,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,1
14,0.42500000000000004,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
15,0.85,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
16,0.95,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
17,1.0,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
18,1.0,cov+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
19,0.575,imcoh+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
20,1.0,instantaneous+elasticnet,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,2
21,0.95,RegCSP+shLDA,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
22,1.0,CSP+optSVM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
23,0.925,FgMDM,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
24,0.975,ensemble-noDR,13,0,1,session_0,13,1,defaultBand,001-2015,8,35,200,0.0,3
