,diversity,feature,FP+FN,nb_trials,subj
0,0.0,cov,81,200,S12-sess0
1,54.32098765432099,imcoh,81,200,S12-sess0
2,27.160493827160494,instantaneous,81,200,S12-sess0
3,58.0246913580247,plv,81,200,S12-sess0
4,44.44444444444444,wpli2_debiased,81,200,S12-sess0
5,56.79012345679012,pli,81,200,S12-sess0
6,50.617283950617285,aec,81,200,S12-sess0
7,0.0,cov,83,200,S12-sess1
8,61.44578313253012,imcoh,83,200,S12-sess1
9,27.710843373493976,instantaneous,83,200,S12-sess1
10,51.80722891566265,plv,83,200,S12-sess1
11,55.42168674698795,wpli2_debiased,83,200,S12-sess1
12,44.57831325301205,pli,83,200,S12-sess1
13,51.80722891566265,aec,83,200,S12-sess1
