,Unnamed: 0,diversity,feature,FP+FN,nb_trials,subj,rel_diversity,pot_improv
0,0,0.0,cov,40,80,S9-sess0,0.0,0.0
1,1,65.0,imcoh,40,80,S9-sess0,1.625,0.8125
2,2,0.0,instantaneous,40,80,S9-sess0,0.0,0.0
3,3,45.0,plv,40,80,S9-sess0,1.125,0.5625
4,4,30.0,wpli2_debiased,40,80,S9-sess0,0.75,0.375
5,5,37.5,pli,40,80,S9-sess0,0.9375,0.46875
6,6,65.0,aec,40,80,S9-sess0,1.625,0.8125
7,7,0.0,cov,36,80,S9-sess1,0.0,0.0
8,8,30.55555555555556,imcoh,36,80,S9-sess1,0.8487654320987655,0.38194444444444453
9,9,11.11111111111111,instantaneous,36,80,S9-sess1,0.30864197530864196,0.1388888888888889
10,10,66.66666666666666,plv,36,80,S9-sess1,1.8518518518518516,0.8333333333333333
11,11,66.66666666666666,wpli2_debiased,36,80,S9-sess1,1.8518518518518516,0.8333333333333333
12,12,58.333333333333336,pli,36,80,S9-sess1,1.6203703703703705,0.7291666666666667
13,13,55.55555555555556,aec,36,80,S9-sess1,1.5432098765432098,0.6944444444444444
