,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.5,RegCSP+shLDA,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
1,0.4375,CSP+optSVM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
2,0.5625,FgMDM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
3,0.5,ensemble-noDR,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
4,0.375,cov+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
5,0.375,imcoh+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
6,0.5,instantaneous+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
7,0.5625,RegCSP+shLDA,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
8,0.5,CSP+optSVM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
9,0.5625,FgMDM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
10,0.3125,ensemble-noDR,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
11,0.4375,cov+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
12,0.6875,imcoh+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
13,0.4375,instantaneous+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,1
14,0.5625,RegCSP+shLDA,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
15,0.5625,CSP+optSVM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
16,0.5625,FgMDM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
17,0.5,ensemble-noDR,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
18,0.5,cov+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
19,0.4375,imcoh+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
20,0.375,instantaneous+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,2
21,0.5,RegCSP+shLDA,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
22,0.5,CSP+optSVM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
23,0.8125,FgMDM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
24,0.1875,ensemble-noDR,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
25,0.5625,cov+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
26,0.4375,imcoh+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
27,0.625,instantaneous+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,3
28,0.4375,RegCSP+shLDA,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
29,0.4375,CSP+optSVM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
30,0.5,FgMDM,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
31,0.5625,ensemble-noDR,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
32,0.4375,cov+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
33,0.3125,imcoh+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
34,0.3125,instantaneous+elasticnet,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,4
35,0.5,RegCSP+shLDA,30,0,1,session_0,30,1,defaultBand,004-2015,8,35,80,0.0,0
