,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
0,0.7416666666666667,RegCSP+shLDA,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
1,0.6,RegCSP+shLDA,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
2,0.625,RegCSP+shLDA,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
3,0.825,RegCSP+shLDA,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
4,0.59375,RegCSP+shLDA,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
5,0.75,CSP+optSVM,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
6,0.5833333333333334,CSP+optSVM,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
7,0.61875,CSP+optSVM,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
8,0.75,CSP+optSVM,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
9,0.6,CSP+optSVM,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
10,0.7583333333333333,FgMDM,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
11,0.6166666666666667,FgMDM,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
12,0.675,FgMDM,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
13,0.84375,FgMDM,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
14,0.61875,FgMDM,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
15,0.7833333333333333,ensemble-noDR,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
16,0.75,cov+elasticnet,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
17,0.6666666666666666,imcoh+elasticnet,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
18,0.6083333333333334,instantaneous+elasticnet,3,0,1,session_0,3,1,defaultBand,004-2014,8,35,720,0.0
19,0.65,ensemble-noDR,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
20,0.6166666666666667,cov+elasticnet,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
21,0.675,imcoh+elasticnet,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
22,0.5666666666666667,instantaneous+elasticnet,3,0,1,session_1,3,1,defaultBand,004-2014,8,35,720,0.0
23,0.7,ensemble-noDR,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
24,0.675,cov+elasticnet,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
25,0.60625,imcoh+elasticnet,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
26,0.59375,instantaneous+elasticnet,3,0,1,session_2,3,1,defaultBand,004-2014,8,35,720,0.0
27,0.79375,ensemble-noDR,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
28,0.8375,cov+elasticnet,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
29,0.56875,imcoh+elasticnet,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
30,0.65,instantaneous+elasticnet,3,0,1,session_3,3,1,defaultBand,004-2014,8,35,720,0.0
31,0.6375,ensemble-noDR,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
32,0.61875,cov+elasticnet,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
33,0.575,imcoh+elasticnet,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
34,0.6,instantaneous+elasticnet,3,0,1,session_4,3,1,defaultBand,004-2014,8,35,720,0.0
35,0.6166666666666667,RegCSP+shLDA,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
36,0.6083333333333334,RegCSP+shLDA,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
37,0.59375,RegCSP+shLDA,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
38,0.5916666666666667,RegCSP+shLDA,3,0,2,session_3,3,1,defaultBand,004-2014,8,35,680,0.0
39,0.54375,RegCSP+shLDA,3,0,2,session_4,3,1,defaultBand,004-2014,8,35,680,0.0
40,0.575,CSP+optSVM,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
41,0.6083333333333333,CSP+optSVM,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
42,0.6125,CSP+optSVM,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
43,0.5333333333333333,CSP+optSVM,3,0,2,session_3,3,1,defaultBand,004-2014,8,35,680,0.0
44,0.55,CSP+optSVM,3,0,2,session_4,3,1,defaultBand,004-2014,8,35,680,0.0
45,0.6333333333333333,FgMDM,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
46,0.6,FgMDM,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
47,0.60625,FgMDM,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
48,0.5333333333333333,FgMDM,3,0,2,session_3,3,1,defaultBand,004-2014,8,35,680,0.0
49,0.5562499999999999,FgMDM,3,0,2,session_4,3,1,defaultBand,004-2014,8,35,680,0.0
50,0.6666666666666667,ensemble-noDR,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
51,0.6583333333333334,cov+elasticnet,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
52,0.45833333333333337,imcoh+elasticnet,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
53,0.4916666666666667,instantaneous+elasticnet,3,0,2,session_0,3,1,defaultBand,004-2014,8,35,680,0.0
54,0.5916666666666667,ensemble-noDR,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
55,0.5833333333333334,cov+elasticnet,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
56,0.45,imcoh+elasticnet,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
57,0.5083333333333333,instantaneous+elasticnet,3,0,2,session_1,3,1,defaultBand,004-2014,8,35,680,0.0
58,0.59375,ensemble-noDR,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
59,0.6,cov+elasticnet,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
60,0.48125,imcoh+elasticnet,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
61,0.5375,instantaneous+elasticnet,3,0,2,session_2,3,1,defaultBand,004-2014,8,35,680,0.0
62,0.575,ensemble-noDR,3,0,2,session_3,3,1,defaultBand,004-2014,8,35,680,0.0
