,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline
47,0.4675,18.250116,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,plv+elasticnet
48,0.4725,21.22942,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,plv+elasticnet
49,0.5055,16.074726,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,plv+elasticnet
50,0.59,20.228535,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,pli+elasticnet
51,0.762,19.986404,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,pli+elasticnet
52,0.503,17.508734,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,pli+elasticnet
53,0.6785,20.37876,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,pli+elasticnet
54,0.497,20.897337,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,pli+elasticnet
55,0.507,20.671618,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,pli+elasticnet
56,0.5086806,20.438461,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,pli+elasticnet
57,0.5315,20.280851,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,pli+elasticnet
58,0.535,17.577366,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,pli+elasticnet
59,0.529,16.460247,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,pli+elasticnet
60,0.5945,20.850199,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
61,0.757,20.995848,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
62,0.552,18.540342,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
63,0.66,20.79243,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
64,0.4975,20.83461,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
65,0.5035,20.817226,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
66,0.47777778,22.121689,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
67,0.5055,20.772514,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
68,0.5175,19.48675,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
69,0.515,17.856316,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,pli2_unbiased+elasticnet
70,0.679,37.668365,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,aec+elasticnet
71,0.563,41.888897,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,aec+elasticnet
72,0.4455,36.431072,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,aec+elasticnet
73,0.5695,37.063564,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,aec+elasticnet
74,0.656,37.843895,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,aec+elasticnet
75,0.5675,36.341,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,aec+elasticnet
76,0.44826388,43.079983,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,aec+elasticnet
77,0.4305,36.448578,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,aec+elasticnet
78,0.463,36.507107,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,aec+elasticnet
79,0.566,41.301655,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,aec+elasticnet
