,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
48,0.95,0.9,0.95,ensemble-noDR_best,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
49,0.9249999999999999,0.85,0.925,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
50,0.7500000000000001,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
51,0.7250000000000001,0.44999999999999996,0.7250000000000001,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
52,0.6,0.19999999999999996,0.6,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
53,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
54,0.95,0.9,0.95,ensemble-noDR_2,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
55,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
56,0.7500000000000001,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
57,0.9249999999999999,0.85,0.925,ensemble-noDR_3,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
58,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
59,0.7500000000000001,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
60,0.7000000000000002,0.4,0.7,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
61,0.9249999999999999,0.85,0.925,ensemble-noDR_4,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
62,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
63,0.7500000000000001,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
