,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
45,0.75,0.5,0.75,plv+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
46,0.6000000000000001,0.19999999999999996,0.6000000000000001,wpli2_debiased+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
47,0.75,0.5,0.75,instantaneous+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
48,0.7,0.4,0.7,TRCSP+LDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
49,0.7749999999999999,0.55,0.775,RegCSP+shLDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
50,0.7749999999999999,0.55,0.7749999999999999,CSP+optSVM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
51,0.8250000000000001,0.65,0.825,FgMDM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
52,0.7749999999999999,0.55,0.775,ensemble-DR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
53,0.7749999999999999,0.55,0.7749999999999999,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
54,0.7749999999999999,0.55,0.775,imcoh+DR+elasticnet,12,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
55,0.65,0.30000000000000004,0.65,plv+DR+elasticnet,6,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
56,0.7,0.4,0.7,wpli2_debiased+DR+elasticnet,19,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
57,0.7749999999999999,0.55,0.775,instantaneous+DR+elasticnet,12,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
58,0.825,0.65,0.825,ensemble-noDR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
59,0.7749999999999999,0.55,0.7749999999999999,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
60,0.6749999999999999,0.35,0.675,imcoh+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
61,0.675,0.35,0.675,plv+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
62,0.65,0.30000000000000004,0.65,wpli2_debiased+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
63,0.875,0.75,0.875,instantaneous+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
64,0.75,0.5,0.75,TRCSP+LDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
65,0.7749999999999999,0.55,0.7749999999999999,RegCSP+shLDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
66,0.8,0.6,0.8,CSP+optSVM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
67,0.875,0.75,0.875,FgMDM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
68,0.85,0.7,0.8500000000000001,ensemble-DR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
69,0.9249999999999999,0.85,0.925,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
70,0.8,0.6,0.8,imcoh+DR+elasticnet,12,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
71,0.725,0.44999999999999996,0.725,plv+DR+elasticnet,19,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
72,0.75,0.5,0.75,wpli2_debiased+DR+elasticnet,19,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
73,0.7,0.4,0.7,instantaneous+DR+elasticnet,6,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
74,0.875,0.75,0.875,ensemble-noDR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
75,0.9249999999999999,0.85,0.925,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
76,0.8250000000000001,0.65,0.825,imcoh+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
77,0.7750000000000001,0.55,0.775,plv+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
78,0.75,0.5,0.75,wpli2_debiased+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
79,0.7000000000000001,0.4,0.7,instantaneous+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
80,0.375,-0.25,0.375,TRCSP+LDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
81,0.4750000000000001,-0.050000000000000044,0.47500000000000003,RegCSP+shLDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
82,0.5,0.0,0.5,CSP+optSVM,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
83,0.525,0.050000000000000044,0.525,FgMDM,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
84,0.5,0.0,0.5,ensemble-DR,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
85,0.525,0.050000000000000044,0.525,cov+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
86,0.42500000000000004,-0.1499999999999999,0.425,imcoh+DR+elasticnet,6,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
87,0.525,0.050000000000000044,0.525,plv+DR+elasticnet,6,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
88,0.47500000000000003,-0.050000000000000044,0.475,wpli2_debiased+DR+elasticnet,19,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
89,0.45,-0.10000000000000009,0.45,instantaneous+DR+elasticnet,6,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
90,0.7,0.4,0.7,ensemble-noDR,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
91,0.525,0.050000000000000044,0.525,cov+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
92,0.35,-0.30000000000000004,0.35,imcoh+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
93,0.55,0.09999999999999998,0.55,plv+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
94,0.375,-0.25,0.375,wpli2_debiased+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
95,0.6000000000000001,0.19999999999999996,0.6000000000000001,instantaneous+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
96,0.525,0.050000000000000044,0.525,TRCSP+LDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
97,0.6,0.19999999999999996,0.6,RegCSP+shLDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
98,0.575,0.15000000000000002,0.575,CSP+optSVM,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
99,0.6,0.19999999999999996,0.6,FgMDM,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
100,0.45,-0.10000000000000009,0.45,ensemble-DR,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
101,0.625,0.25,0.625,cov+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
102,0.525,0.050000000000000044,0.525,imcoh+DR+elasticnet,6,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
103,0.525,0.050000000000000044,0.525,plv+DR+elasticnet,6,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
104,0.6000000000000001,0.19999999999999996,0.6000000000000001,wpli2_debiased+DR+elasticnet,12,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
105,0.5499999999999999,0.09999999999999998,0.55,instantaneous+DR+elasticnet,12,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
106,0.625,0.25,0.625,ensemble-noDR,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
107,0.625,0.25,0.625,cov+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
108,0.42500000000000004,-0.1499999999999999,0.42500000000000004,imcoh+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
109,0.4,-0.19999999999999996,0.4,plv+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
110,0.475,-0.050000000000000044,0.475,wpli2_debiased+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
111,0.65,0.30000000000000004,0.6499999999999999,instantaneous+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
112,0.5249999999999999,0.050000000000000044,0.5249999999999999,TRCSP+LDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
113,0.6,0.19999999999999996,0.6,RegCSP+shLDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
114,0.475,-0.050000000000000044,0.475,CSP+optSVM,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
115,0.625,0.25,0.625,FgMDM,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
116,0.525,0.050000000000000044,0.525,ensemble-DR,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
117,0.575,0.15000000000000002,0.575,cov+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
118,0.575,0.15000000000000002,0.575,imcoh+DR+elasticnet,19,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
119,0.5,0.0,0.5,plv+DR+elasticnet,12,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
120,0.5499999999999999,0.09999999999999998,0.55,wpli2_debiased+DR+elasticnet,12,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
121,0.42500000000000004,-0.1499999999999999,0.42500000000000004,instantaneous+DR+elasticnet,6,0.05,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
122,0.525,0.050000000000000044,0.525,ensemble-noDR,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
123,0.575,0.15000000000000002,0.575,cov+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
124,0.55,0.09999999999999998,0.55,imcoh+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
125,0.4,-0.19999999999999996,0.4,plv+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
126,0.6,0.19999999999999996,0.6,wpli2_debiased+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
127,0.55,0.09999999999999998,0.55,instantaneous+elasticnet,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
128,0.475,-0.050000000000000044,0.475,TRCSP+LDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
129,0.5750000000000001,0.15000000000000002,0.575,RegCSP+shLDA,64,0.0,2,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
