,Unnamed: 0,diversity,feature,FP+FN,nb_trials,subj,rel_diversity,pot_improv
0,0,0.0,cov,28,144,S9-sess0,0.0,0.0
1,1,50.0,imcoh,28,144,S9-sess0,1.7857142857142858,0.3472222222222222
2,2,25.0,instantaneous,28,144,S9-sess0,0.8928571428571429,0.1736111111111111
3,3,50.0,plv,28,144,S9-sess0,1.7857142857142858,0.3472222222222222
4,4,60.71428571428571,wpli2_debiased,28,144,S9-sess0,2.1683673469387754,0.4216269841269841
5,5,53.57142857142857,pli,28,144,S9-sess0,1.913265306122449,0.37202380952380953
6,6,35.714285714285715,aec,28,144,S9-sess0,1.2755102040816326,0.24801587301587302
7,7,0.0,cov,34,144,S9-sess1,0.0,0.0
8,8,50.0,imcoh,34,144,S9-sess1,1.4705882352941178,0.3472222222222222
9,9,26.47058823529412,instantaneous,34,144,S9-sess1,0.7785467128027682,0.18382352941176472
10,10,52.94117647058824,plv,34,144,S9-sess1,1.5570934256055364,0.36764705882352944
11,11,47.05882352941176,wpli2_debiased,34,144,S9-sess1,1.3840830449826989,0.326797385620915
12,12,58.82352941176471,pli,34,144,S9-sess1,1.7301038062283738,0.40849673202614384
13,13,41.17647058823529,aec,34,144,S9-sess1,1.2110726643598615,0.28594771241830064
