,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline,FreqBand
40,0.5425,5.741971,200.0,2.0,4.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
41,0.78,6.5401545,200.0,2.0,4.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
42,0.978,4.9637847,200.0,2.0,4.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
43,0.496,6.164593,200.0,2.0,4.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
44,0.5555,6.641027,200.0,2.0,4.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
45,0.5515,7.1086626,200.0,2.0,4.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
46,0.40486112,5.2627873,240.0,2.0,4.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
47,0.5515,6.339665,200.0,2.0,4.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
48,0.5425,5.6984067,200.0,2.0,4.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
49,0.429,9.561913,200.0,2.0,4.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,coh+elasticnet,delta
50,0.575,4.260913,200.0,2.0,4.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
51,0.886,4.358703,200.0,2.0,4.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
52,0.9825,4.0706825,200.0,2.0,4.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
53,0.568,4.3798943,200.0,2.0,4.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
54,0.5425,3.8885431,200.0,2.0,4.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
55,0.501,3.911773,200.0,2.0,4.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
56,0.45104167,5.1426196,240.0,2.0,4.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
57,0.4245,4.1793647,200.0,2.0,4.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
58,0.565,4.2148223,200.0,2.0,4.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
59,0.436,4.1628423,200.0,2.0,4.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,delta
0,0.714,15.234793,200.0,4.0,8.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
1,0.9065,13.66853,200.0,4.0,8.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
2,0.837,13.334898,200.0,4.0,8.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
3,0.621,15.301907,200.0,4.0,8.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
4,0.508,14.247428,200.0,4.0,8.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
