label,x,y
C3,-0.324930901050304,0.0
C4,0.324930901050304,0.0
CP3,-0.31264795400743994,-0.17179573892458574
CP4,0.31264795400743994,-0.17179573892458574
CPz,0.0,-0.1583722002972682
Cz,0.0,0.0
F3,-0.2744172145845786,0.346682606096832
F4,0.2744172145845786,0.346682606096832
F8,0.5878533231474408,0.42704354469060357
FC3,-0.31264795400743994,0.17179573892458574
FC4,0.31264795400743994,0.17179573892458574
FCz,0.0,0.1583722002972682
Fz,0.0,0.324930901050304
O1,-0.2245225362872422,-0.6909854851031322
O2,0.2245225362872422,-0.6909854851031322
P1,-0.13492644986755342,-0.3301583723158429
P2,0.13492644986755342,-0.3301583723158429
P3,-0.2744172145845786,-0.346682606096832
P4,0.2744172145845786,-0.346682606096832
P5,-0.42338949454905844,-0.3771390815989428
P6,0.42338949454905844,-0.3771390815989428
P8,0.5878533231474408,-0.42704354469060357
Pz,0.0,-0.324930901050304
